209,"MSG_WEATHER_CODE_209",209,霧,"200.gif","FOG"
210,"MSG_WEATHER_CODE_210",210,曇後時々晴,"210.gif","CLOUDY, PARTLY CLOUDY LATER"
211,"MSG_WEATHER_CODE_211",211,曇後晴,"210.gif","CLOUDY, CLEAR LATER"
212,"MSG_WEATHER_CODE_212",212,曇後一時雨,"212.gif","CLOUDY, OCCASIONAL SCATTERED SHOWERS LATER"
213,"MSG_WEATHER_CODE_213",213,曇後時々雨,"212.gif","CLOUDY, FREQUENT SCATTERED SHOWERS LATER"
214,"MSG_WEATHER_CODE_214",214,曇後雨,"212.gif","CLOUDY, RAIN LATER"
215,"MSG_WEATHER_CODE_215",215,曇後一時雪,"215.gif","CLOUDY, SNOW FLURRIES LATER"
216,"MSG_WEATHER_CODE_216",216,曇後時々雪,"215.gif","CLOUDY, FREQUENT SNOW FLURRIES LATER"
217,"MSG_WEATHER_CODE_217",217,曇後雪,"215.gif","CLOUDY, SNOW LATER"
218,"MSG_WEATHER_CODE_218",218,曇後雨か雪,"212.gif","CLOUDY, RAIN OR SNOW LATER"
219,"MSG_WEATHER_CODE_219",219,曇後雨か雷雨,"212.gif","CLOUDY, RAIN AND/OR THUNDER LATER"
220,"MSG_WEATHER_CODE_220",220,曇朝夕一時雨,"202.gif","OCCASIONAL SCCATERED SHOWERS IN THE MORNING AND EVENING, CLOUDY DURING THE DAY"
221,"MSG_WEATHER_CODE_221",221,曇朝の内一時雨,"202.gif","CLOUDY OCCASIONAL SCCATERED SHOWERS IN THE MORNING"
222,"MSG_WEATHER_CODE_222",222,曇夕方一時雨,"212.gif","CLOUDY, OCCASIONAL SCCATERED SHOWERS IN THE EVENING"
223,"MSG_WEATHER_CODE_223",223,曇日中時々晴,"201.gif","CLOUDY IN THE MORNING AND EVENING, PARTLY CLOUDY DURING THE DAY"
224,"MSG_WEATHER_CODE_224",224,曇昼頃から雨,"212.gif","CLOUDY, RAIN IN THE AFTERNOON"
225,"MSG_WEATHER_CODE_225",225,曇夕方から雨,"212.gif","CLOUDY, RAIN IN THE EVENING"
226,"MSG_WEATHER_CODE_226",226,曇夜は雨,"212.gif","CLOUDY, RAIN IN THE NIGHT"
228,"MSG_WEATHER_CODE_228",228,曇昼頃から雪,"215.gif","CLOUDY, SNOW IN THE AFTERNOON"
229,"MSG_WEATHER_CODE_229",229,曇夕方から雪,"215.gif","CLOUDY, SNOW IN THE EVENING"
230,"MSG_WEATHER_CODE_230",230,曇夜は雪,"215.gif","CLOUDY, SNOW IN THE NIGHT"
231,"MSG_WEATHER_CODE_231",231,曇海上海岸は霧か霧雨,"200.gif","CLOUDY, FOG OR DRIZZLING ON THE SEA AND NEAR SEASHORE"
240,"MSG_WEATHER_CODE_240",240,曇時々雨で雷を伴う,"202.gif","CLOUDY, FREQUENT SCCATERED SHOWERS AND THUNDER"
250,"MSG_WEATHER_CODE_250",250,曇時々雪で雷を伴う,"204.gif","CLOUDY, FREQUENT SNOW AND THUNDER"
260,"MSG_WEATHER_CODE_260",260,曇一時雪か雨,"204.gif","CLOUDY, SNOW FLURRIES OR OCCASIONAL SCATTERED SHOWERS"
270,"MSG_WEATHER_CODE_270",270,曇時々雪か雨,"204.gif","CLOUDY, FREQUENT SNOW FLURRIES OR SCATTERED SHOWERS"
281,"MSG_WEATHER_CODE_281",281,曇後雪か雨,"215.gif","CLOUDY, SNOW OR RAIN LATER"
300,"MSG_WEATHER_CODE_300",300,雨,"300.gif","RAIN"
301,"MSG_WEATHER_CODE_301",301,雨時々晴,"301.gif","RAIN, PARTLY CLOUDY"
302,"MSG_WEATHER_CODE_302",302,雨時々止む,"302.gif","SHOWERS THROUGHOUT THE DAY"
303,"MSG_WEATHER_CODE_303",303,雨時々雪,"303.gif","RAIN, FREQUENT SNOW FLURRIES"
304,"MSG_WEATHER_CODE_304",304,雨か雪,"300.gif","RAINORSNOW"
306,"MSG_WEATHER_CODE_306",306,大雨,"300.gif","HEAVYRAIN"
308,"MSG_WEATHER_CODE_308",308,雨で暴風を伴う,"308.gif","RAINSTORM"
309,"MSG_WEATHER_CODE_309",309,雨一時雪,"303.gif","RAIN, OCCASIONAL SNOW"
311,"MSG_WEATHER_CODE_311",311,雨後晴,"311.gif","RAIN, CLEAR LATER"
313,"MSG_WEATHER_CODE_313",313,雨後曇,"313.gif","RAIN, CLOUDY LATER"
314,"MSG_WEATHER_CODE_314",314,雨後時々雪,"314.gif","RAIN, FREQUENT SNOW FLURRIES LATER"
315,"MSG_WEATHER_CODE_315",315,雨後雪,"314.gif","RAIN, SNOW LATER"
316,"MSG_WEATHER_CODE_316",316,雨か雪後晴,"311.gif","RAIN OR SNOW, CLEAR LATER"
317,"MSG_WEATHER_CODE_317",317,雨か雪後曇,"313.gif","RAIN OR SNOW, CLOUDY LATER"
320,"MSG_WEATHER_CODE_320",320,朝の内雨後晴,"311.gif","RAIN IN THE MORNING, CLEAR LATER"
321,"MSG_WEATHER_CODE_321",321,朝の内雨後曇,"313.gif","RAIN IN THE MORNING, CLOUDY LATER"
322,"MSG_WEATHER_CODE_322",322,雨朝晩一時雪,"303.gif","OCCASIONAL SNOW IN THE MORNING AND EVENING, RAIN DURING THE DAY"
323,"MSG_WEATHER_CODE_323",323,雨昼頃から晴,"311.gif","RAIN, CLEAR IN THE AFTERNOON"
324,"MSG_WEATHER_CODE_324",324,雨夕方から晴,"311.gif","RAIN, CLEAR IN THE EVENING"
325,"MSG_WEATHER_CODE_325",325,雨夜は晴,"311.gif","RAIN, CLEAR IN THE NIGHT"
326,"MSG_WEATHER_CODE_326",326,雨夕方から雪,"314.gif","RAIN, SNOW IN THE EVENING"
327,"MSG_WEATHER_CODE_327",327,雨夜は雪,"314.gif","RAIN, SNOW IN THE NIGHT"
328,"MSG_WEATHER_CODE_328",328,雨一時強く降る,"300.gif","RAIN, EXPECT OCCASIONAL HEAVY RAINFALL"
329,"MSG_WEATHER_CODE_329",329,雨一時みぞれ,"300.gif","RAIN, OCCASIONAL SLEET"
340,"MSG_WEATHER_CODE_340",340,雪か雨,"400.gif","SNOWORRAIN"
350,"MSG_WEATHER_CODE_350",350,雨で雷を伴う,"300.gif","RAIN AND THUNDER"
361,"MSG_WEATHER_CODE_361",361,雪か雨後晴,"411.gif","SNOW OR RAIN, CLEAR LATER"
371,"MSG_WEATHER_CODE_371",371,雪か雨後曇,"413.gif","SNOW OR RAIN, CLOUDY LATER"
400,"MSG_WEATHER_CODE_400",400,雪,"400.gif","SNOW"
401,"MSG_WEATHER_CODE_401",401,雪時々晴,"401.gif","SNOW, FREQUENT CLEAR"
402,"MSG_WEATHER_CODE_402",402,雪時々止む,"402.gif","SNOWTHROUGHOUT THE DAY"
403,"MSG_WEATHER_CODE_403",403,雪時々雨,"403.gif","SNOW, FREQUENT SCCATERED SHOWERS"
405,"MSG_WEATHER_CODE_405",405,大雪,"400.gif","HEAVYSNOW"
406,"MSG_WEATHER_CODE_406",406,風雪強い,"406.gif","SNOWSTORM"
407,"MSG_WEATHER_CODE_407",407,暴風雪,"406.gif","HEAVYSNOWSTORM"
409,"MSG_WEATHER_CODE_409",409,雪一時雨,"403.gif","SNOW, OCCASIONAL SCCATERED SHOWERS"
411,"MSG_WEATHER_CODE_411",411,雪後晴,"411.gif","SNOW, CLEAR LATER"
413,"MSG_WEATHER_CODE_413",413,雪後曇,"413.gif","SNOW, CLOUDY LATER"
414,"MSG_WEATHER_CODE_414",414,雪後雨,"414.gif","SNOW, RAIN LATER"
420,"MSG_WEATHER_CODE_420",420,朝の内雪後晴,"411.gif","SNOW IN THE MORNING, CLEAR LATER"
421,"MSG_WEATHER_CODE_421",421,朝の内雪後曇,"413.gif","SNOW IN THE MORNING, CLOUDY LATER"
422,"MSG_WEATHER_CODE_422",422,雪昼頃から雨,"414.gif","SNOW, RAIN IN THE AFTERNOON"
423,"MSG_WEATHER_CODE_423",423,雪夕方から雨,"414.gif","SNOW, RAIN IN THE EVENING"
425,"MSG_WEATHER_CODE_425",425,雪一時強く降る,"400.gif","SNOW, EXPECT OCCASIONAL HEAVY SNOWFALL"
426,"MSG_WEATHER_CODE_426",426,雪後みぞれ,"400.gif","SNOW, SLEET LATER"
427,"MSG_WEATHER_CODE_427",427,雪一時みぞれ,"400.gif","SNOW, OCCASIONAL SLEET"
450,"MSG_WEATHER_CODE_450",450,雪で雷を伴う,"400.gif","SNOW AND THUNDER"
